Year,Forecast Category,Province,Sector,Use of Funds,Current dollars,Current dollars per capita,Constant 1997 dollars,Constant 1997 dollars per capita
1976,..,New Brunswick,Private,Capital,4287948,6,,
1977,..,New Brunswick,Private,Capital,376,0,,
1978,..,New Brunswick,Private,Capital,2012142,3,,
1979,..,New Brunswick,Private,Capital,5562000,8,,
1980,..,New Brunswick,Private,Capital,4984000,7,,
1981,..,New Brunswick,Private,Capital,6332000,9,,
1982,..,New Brunswick,Private,Capital,5935000,8,,
1983,..,New Brunswick,Private,Capital,8684000,12,,
1984,..,New Brunswick,Private,Capital,29455000,41,,
1985,..,New Brunswick,Private,Capital,18102000,25,,
1986,..,New Brunswick,Private,Capital,12729000,18,,
1987,..,New Brunswick,Private,Capital,3832000,5,,
1988,..,New Brunswick,Private,Capital,8634535,12,,
1989,..,New Brunswick,Private,Capital,9214168,13,,
1990,..,New Brunswick,Private,Capital,8724478,12,,
1991,..,New Brunswick,Private,Capital,6390262,9,,
1992,..,New Brunswick,Private,Capital,5186717,7,,
1993,..,New Brunswick,Private,Capital,4597090,6,,
1994,..,New Brunswick,Private,Capital,5231925,7,,
1995,..,New Brunswick,Private,Capital,3113758,4,,
1996,..,New Brunswick,Private,Capital,9874965,13,,
1997,..,New Brunswick,Private,Capital,12078276,16,,
1998,..,New Brunswick,Private,Capital,11300000,15,,
1999,..,New Brunswick,Private,Capital,21700000,29,,
2000,..,New Brunswick,Private,Capital,6600000,9,,
2001,..,New Brunswick,Private,Capital,26000000,35,,
2002,..,New Brunswick,Private,Capital,13100000,17,,
2003,..,New Brunswick,Private,Capital,8100000,11,,
2004,..,New Brunswick,Private,Capital,12000000,16,,
2005,..,New Brunswick,Private,Capital,39800000,53,,
2006,..,New Brunswick,Private,Capital,54600000,73,,
2007,..,New Brunswick,Private,Capital,46933333,63,,
2008,..,New Brunswick,Private,Capital,31225000,42,,
2009,..,New Brunswick,Private,Capital,56450000,75,,
2010,..,New Brunswick,Private,Capital,75443738,100,,
2011,..,New Brunswick,Private,Capital,42163800,56,,
2012,..,New Brunswick,Private,Capital,24629281,32,,
2013,..,New Brunswick,Private,Capital,18904309,25,,
2014,..,New Brunswick,Private,Capital,46801421,62,,
2015,..,New Brunswick,Private,Capital,24995798,33,,
2016,..,New Brunswick,Private,Capital,33817904,44,,
2017,..,New Brunswick,Private,Capital,49291771,64,,
2018,..,New Brunswick,Private,Capital,44468543,58,,
2019,..,New Brunswick,Private,Capital,52926087,68,,
2020,f,New Brunswick,Private,Capital,55611407,71,,
2021,f,New Brunswick,Private,Capital,48486499,62,,
1975,..,New Brunswick,Private,Total,62670181,93,225113771,333
1976,..,New Brunswick,Private,Total,67540196,98,214478704,311
1977,..,New Brunswick,Private,Total,74463449,107,223507056,321
1978,..,New Brunswick,Private,Total,91057936,130,258638416,370
1979,..,New Brunswick,Private,Total,118692885,169,325275506,463
1980,..,New Brunswick,Private,Total,147231194,208,355690670,504
1981,..,New Brunswick,Private,Total,177719144,252,384315522,544
1982,..,New Brunswick,Private,Total,210094998,297,408863828,578
1983,..,New Brunswick,Private,Total,232557578,325,414654896,580
1984,..,New Brunswick,Private,Total,265567895,369,453819062,630
1985,..,New Brunswick,Private,Total,274051373,379,449289968,621
1986,..,New Brunswick,Private,Total,285887197,394,444507972,613
1987,..,New Brunswick,Private,Total,305084310,419,440023949,605
1988,..,New Brunswick,Private,Total,330454145,452,445561025,610
1989,..,New Brunswick,Private,Total,352375475,479,450598743,613
1990,..,New Brunswick,Private,Total,397415662,537,472972358,639
1991,..,New Brunswick,Private,Total,442379834,593,491779786,660
1992,..,New Brunswick,Private,Total,466727228,624,496614648,664
1993,..,New Brunswick,Private,Total,502911144,672,523336988,699
1994,..,New Brunswick,Private,Total,520723221,694,530488835,707
1995,..,New Brunswick,Private,Total,496313183,661,503713523,671
1996,..,New Brunswick,Private,Total,488372424,649,491198150,653
1997,..,New Brunswick,Private,Total,551451501,733,551451501,733
1998,..,New Brunswick,Private,Total,553693268,738,548787740,731
1999,..,New Brunswick,Private,Total,607084767,809,592097608,789
2000,..,New Brunswick,Private,Total,638666753,851,615777425,820
2001,..,New Brunswick,Private,Total,728000537,971,689495228,920
2002,..,New Brunswick,Private,Total,786606454,1050,740655527,988
2003,..,New Brunswick,Private,Total,840745296,1122,780188986,1041
2004,..,New Brunswick,Private,Total,864246302,1153,793976662,1059
2005,..,New Brunswick,Private,Total,983886090,1315,890636831,1191
2006,..,New Brunswick,Private,Total,1054229886,1414,941863168,1263
2007,..,New Brunswick,Private,Total,1086277094,1457,961146820,1289
2008,..,New Brunswick,Private,Total,1142976434,1530,1006036514,1347
2009,..,New Brunswick,Private,Total,1290889125,1721,1073350226,1431
2010,..,New Brunswick,Private,Total,1354220183,1798,1111611613,1476
2011,..,New Brunswick,Private,Total,1360277159,1800,1116664605,1478
2012,..,New Brunswick,Private,Total,1387956060,1830,1141625939,1505
2013,..,New Brunswick,Private,Total,1349181875,1779,1149046959,1515
2014,..,New Brunswick,Private,Total,1446508572,1906,1231843560,1623
2015,..,New Brunswick,Private,Total,1511327927,1992,1271518559,1676
2016,..,New Brunswick,Private,Total,1520414991,1992,1262802778,1654
2017,..,New Brunswick,Private,Total,1662126916,2168,1418885768,1851
2018,..,New Brunswick,Private,Total,1648640662,2140,1392434657,1808
2019,..,New Brunswick,Private,Total,1742865190,2243,1426588944,1836
2020,f,New Brunswick,Private,Total,1695627685,2170,1349503220,1727
2021,f,New Brunswick,Private,Total,1744769340,2225,1367408925,1744
1975,..,Quebec,Private,Hospitals,92322000,15,,
1976,..,Quebec,Private,Hospitals,110966000,17,,
1977,..,Quebec,Private,Hospitals,112031000,17,,
1978,..,Quebec,Private,Hospitals,132018000,20,,
1979,..,Quebec,Private,Hospitals,161228000,25,,
1980,..,Quebec,Private,Hospitals,199612000,31,,
1981,..,Quebec,Private,Hospitals,245503000,37,,
1982,..,Quebec,Private,Hospitals,284828000,43,,
1983,..,Quebec,Private,Hospitals,320189000,48,,
1984,..,Quebec,Private,Hospitals,377766000,57,,
1985,..,Quebec,Private,Hospitals,405313000,61,,
1986,..,Quebec,Private,Hospitals,515072048,77,,
1987,..,Quebec,Private,Hospitals,522317751,77,,
1988,..,Quebec,Private,Hospitals,509508218,75,,
1989,..,Quebec,Private,Hospitals,525854168,76,,
1990,..,Quebec,Private,Hospitals,635109991,91,,
1991,..,Quebec,Private,Hospitals,691816271,98,,
1992,..,Quebec,Private,Hospitals,760101410,107,,
1993,..,Quebec,Private,Hospitals,803410772,112,,
1994,..,Quebec,Private,Hospitals,744807237,104,,
1995,..,Quebec,Private,Hospitals,500281923,69,,
1996,..,Quebec,Private,Hospitals,399707268,55,,
1997,..,Quebec,Private,Hospitals,338830275,47,,
1998,..,Quebec,Private,Hospitals,322717292,44,,
1999,..,Quebec,Private,Hospitals,317635308,43,,
2000,..,Quebec,Private,Hospitals,335391283,46,,
2001,..,Quebec,Private,Hospitals,364486975,49,,
2002,..,Quebec,Private,Hospitals,346873590,47,,
2003,..,Quebec,Private,Hospitals,346454983,46,,
2004,..,Quebec,Private,Hospitals,368390728,49,,
2005,..,Quebec,Private,Hospitals,384617309,51,,
2006,..,Quebec,Private,Hospitals,395315398,52,,
2007,..,Quebec,Private,Hospitals,401818120,52,,
2008,..,Quebec,Private,Hospitals,413919242,53,,
2009,..,Quebec,Private,Hospitals,428913324,55,,
2010,..,Quebec,Private,Hospitals,442174395,56,,
2011,..,Quebec,Private,Hospitals,454681034,57,,
2012,..,Quebec,Private,Hospitals,467583864,58,,
2013,..,Quebec,Private,Hospitals,481978427,59,,
2014,..,Quebec,Private,Hospitals,496878431,61,,
2015,..,Quebec,Private,Hospitals,511713130,63,,
2016,..,Quebec,Private,Hospitals,526881750,64,,
2017,..,Quebec,Private,Hospitals,542643300,65,,
2018,..,Quebec,Private,Hospitals,559043305,67,,
2019,..,Quebec,Private,Hospitals,575876074,68,,
2020,f,Quebec,Private,Hospitals,550181195,64,,
2021,f,Quebec,Private,Hospitals,555865807,64,,
1975,..,Quebec,Private,Other Institutions,53568000,8,,
1976,..,Quebec,Private,Other Institutions,59346000,9,,
1977,..,Quebec,Private,Other Institutions,54528000,8,,
1978,..,Quebec,Private,Other Institutions,65643000,10,,
1979,..,Quebec,Private,Other Institutions,90389000,14,,
1980,..,Quebec,Private,Other Institutions,123584000,19,,
1981,..,Quebec,Private,Other Institutions,152236000,23,,
1982,..,Quebec,Private,Other Institutions,184553000,28,,
1983,..,Quebec,Private,Other Institutions,214942000,33,,
1984,..,Quebec,Private,Other Institutions,221218000,33,,
1985,..,Quebec,Private,Other Institutions,229115000,34,,
1986,..,Quebec,Private,Other Institutions,247939000,37,,
1987,..,Quebec,Private,Other Institutions,264113000,39,,
1988,..,Quebec,Private,Other Institutions,295985000,43,,
1989,..,Quebec,Private,Other Institutions,321551000,46,,
1990,..,Quebec,Private,Other Institutions,372080500,53,,
1991,..,Quebec,Private,Other Institutions,390322000,55,,
1992,..,Quebec,Private,Other Institutions,422660000,59,,
1993,..,Quebec,Private,Other Institutions,437312280,61,,
1994,..,Quebec,Private,Other Institutions,526357404,73,,
1995,..,Quebec,Private,Other Institutions,573701686,79,,
1996,..,Quebec,Private,Other Institutions,592220696,82,,
1997,..,Quebec,Private,Other Institutions,619059196,85,,
1998,..,Quebec,Private,Other Institutions,645519112,88,,
1999,..,Quebec,Private,Other Institutions,689432341,94,,
2000,..,Quebec,Private,Other Institutions,736099917,100,,
2001,..,Quebec,Private,Other Institutions,784670235,106,,
2002,..,Quebec,Private,Other Institutions,844536374,113,,
2003,..,Quebec,Private,Other Institutions,904540964,121,,
2004,..,Quebec,Private,Other Institutions,995676254,132,,
2005,..,Quebec,Private,Other Institutions,1102190797,145,,
2006,..,Quebec,Private,Other Institutions,1189732446,156,,
2007,..,Quebec,Private,Other Institutions,1284227101,167,,
2008,..,Quebec,Private,Other Institutions,1386227007,179,,
2009,..,Quebec,Private,Other Institutions,1503630392,192,,
2010,..,Quebec,Private,Other Institutions,1632788969,206,,
2011,..,Quebec,Private,Other Institutions,1776532572,222,,
2012,..,Quebec,Private,Other Institutions,1929724545,239,,
2013,..,Quebec,Private,Other Institutions,2090468769,258,,
2014,..,Quebec,Private,Other Institutions,1392031982,171,,
2015,..,Quebec,Private,Other Institutions,1305718570,160,,
2016,..,Quebec,Private,Other Institutions,1517232288,184,,
2017,..,Quebec,Private,Other Institutions,1669362254,201,,
2018,..,Quebec,Private,Other Institutions,1847264397,220,,
2019,..,Quebec,Private,Other Institutions,1880589222,221,,
2020,f,Quebec,Private,Other Institutions,1678269381,196,,
2021,f,Quebec,Private,Other Institutions,1649792834,191,,
1975,..,Quebec,Private,Physicians,4252352,1,,
1976,..,Quebec,Private,Physicians,4748826,1,,
1977,..,Quebec,Private,Physicians,4874849,1,,
1978,..,Quebec,Private,Physicians,5469269,1,,
1979,..,Quebec,Private,Physicians,5616404,1,,
1980,..,Quebec,Private,Physicians,6319870,1,,
1981,..,Quebec,Private,Physicians,6320523,1,,
1982,..,Quebec,Private,Physicians,11282217,2,,
1983,..,Quebec,Private,Physicians,12925087,2,,
1984,..,Quebec,Private,Physicians,12097993,2,,
1985,..,Quebec,Private,Physicians,12865014,2,,
1986,..,Quebec,Private,Physicians,12774251,2,,
1987,..,Quebec,Private,Physicians,14452599,2,,
1988,..,Quebec,Private,Physicians,14784000,2,,
1989,..,Quebec,Private,Physicians,15123000,2,,
1990,..,Quebec,Private,Physicians,15347000,2,,
1991,..,Quebec,Private,Physicians,15485000,2,,
1992,..,Quebec,Private,Physicians,15597000,2,,
1993,..,Quebec,Private,Physicians,17502130,2,,
1994,..,Quebec,Private,Physicians,20010427,3,,
1995,..,Quebec,Private,Physicians,20223946,3,,
1996,..,Quebec,Private,Physicians,25167285,3,,
1997,..,Quebec,Private,Physicians,42586018,6,,
1998,..,Quebec,Private,Physicians,22751200,3,,
1999,..,Quebec,Private,Physicians,34430160,5,,
2000,..,Quebec,Private,Physicians,70334160,10,,
2001,..,Quebec,Private,Physicians,26578350,4,,
2002,..,Quebec,Private,Physicians,56970740,8,,
2003,..,Quebec,Private,Physicians,48926880,7,,
2004,..,Quebec,Private,Physicians,46998900,6,,
2005,..,Quebec,Private,Physicians,66573510,9,,
2006,..,Quebec,Private,Physicians,66061200,9,,
2007,..,Quebec,Private,Physicians,80043160,10,,
2008,..,Quebec,Private,Physicians,94498120,12,,
2009,..,Quebec,Private,Physicians,180911020,23,,
2010,..,Quebec,Private,Physicians,95212440,12,,
2011,..,Quebec,Private,Physicians,89648394,11,,
2012,..,Quebec,Private,Physicians,149115262,18,,
2013,..,Quebec,Private,Physicians,150692812,19,,
2014,..,Quebec,Private,Physicians,215487000,26,,
2015,..,Quebec,Private,Physicians,175126000,21,,
2016,..,Quebec,Private,Physicians,205676553,25,,
2017,..,Quebec,Private,Physicians,207845947,25,,
2018,..,Quebec,Private,Physicians,206420174,25,,
2019,..,Quebec,Private,Physicians,170702167,20,,
2020,f,Quebec,Private,Physicians,165302194,19,,
2021,f,Quebec,Private,Physicians,169806319,20,,
1975,..,Quebec,Private,Other Professionals,231384220,37,,
1976,..,Quebec,Private,Other Professionals,269731818,42,,
1977,..,Quebec,Private,Other Professionals,302975402,47,,
1978,..,Quebec,Private,Other Professionals,334552862,52,,
1979,..,Quebec,Private,Other Professionals,356753317,55,,
1980,..,Quebec,Private,Other Professionals,398685836,61,,
1981,..,Quebec,Private,Other Professionals,450964883,69,,
1982,..,Quebec,Private,Other Professionals,541477505,82,,
1983,..,Quebec,Private,Other Professionals,587409375,89,,
1984,..,Quebec,Private,Other Professionals,630080868,95,,
1985,..,Quebec,Private,Other Professionals,717782525,108,,
1986,..,Quebec,Private,Other Professionals,795313855,119,,
1987,..,Quebec,Private,Other Professionals,878823960,130,,
1988,..,Quebec,Private,Other Professionals,977937613,143,,
1989,..,Quebec,Private,Other Professionals,1088524971,157,,
1990,..,Quebec,Private,Other Professionals,1146590020,164,,
1991,..,Quebec,Private,Other Professionals,1234520104,175,,
1992,..,Quebec,Private,Other Professionals,1287718090,181,,
1993,..,Quebec,Private,Other Professionals,1364840281,191,,
1994,..,Quebec,Private,Other Professionals,1433951734,199,,
1995,..,Quebec,Private,Other Professionals,1492934110,207,,
1996,..,Quebec,Private,Other Professionals,1553784418,214,,
1997,..,Quebec,Private,Other Professionals,1709058599,235,,
1998,..,Quebec,Private,Other Professionals,1692834001,232,,
1999,..,Quebec,Private,Other Professionals,1976709576,270,,
2000,..,Quebec,Private,Other Professionals,1968354957,268,,
2001,..,Quebec,Private,Other Professionals,2240689004,303,,
2002,..,Quebec,Private,Other Professionals,2288186623,307,,
2003,..,Quebec,Private,Other Professionals,2472810559,330,,
2004,..,Quebec,Private,Other Professionals,2347151951,311,,
2005,..,Quebec,Private,Other Professionals,2694955695,355,,
2006,..,Quebec,Private,Other Professionals,2827301796,370,,
2007,..,Quebec,Private,Other Professionals,2875820359,374,,
2008,..,Quebec,Private,Other Professionals,3186034385,410,,
2009,..,Quebec,Private,Other Professionals,3180310228,405,,
2010,..,Quebec,Private,Other Professionals,3463964765,437,,
2011,..,Quebec,Private,Other Professionals,3453129706,431,,
2012,..,Quebec,Private,Other Professionals,3506610475,435,,
2013,..,Quebec,Private,Other Professionals,3808183407,470,,
2014,..,Quebec,Private,Other Professionals,3824233051,469,,
2015,..,Quebec,Private,Other Professionals,3876894729,474,,
2016,..,Quebec,Private,Other Professionals,4458677566,542,,
2017,..,Quebec,Private,Other Professionals,4611371418,555,,
2018,..,Quebec,Private,Other Professionals,4855837517,578,,
2019,..,Quebec,Private,Other Professionals,4898922499,576,,
2020,f,Quebec,Private,Other Professionals,4075834209,475,,
2021,f,Quebec,Private,Other Professionals,4306103813,499,,
1975,..,Quebec,Private,Drugs,243282479,38,,
1976,..,Quebec,Private,Drugs,243347462,38,,
1977,..,Quebec,Private,Drugs,241438528,38,,
1978,..,Quebec,Private,Drugs,212656285,33,,
1979,..,Quebec,Private,Drugs,220838866,34,,
1980,..,Quebec,Private,Drugs,211613080,33,,
1981,..,Quebec,Private,Drugs,372427800,57,,
1982,..,Quebec,Private,Drugs,423678369,64,,
1983,..,Quebec,Private,Drugs,450654421,68,,
1984,..,Quebec,Private,Drugs,517547542,78,,
1985,..,Quebec,Private,Drugs,573079567,86,,
1986,..,Quebec,Private,Drugs,723982825,108,,
1987,..,Quebec,Private,Drugs,769276265,113,,
1988,..,Quebec,Private,Drugs,890273185,130,,
1989,..,Quebec,Private,Drugs,1027248228,148,,
1990,..,Quebec,Private,Drugs,1107107580,158,,
1991,..,Quebec,Private,Drugs,1243829277,176,,
1992,..,Quebec,Private,Drugs,1341633621,189,,
1993,..,Quebec,Private,Drugs,1475413476,206,,
1994,..,Quebec,Private,Drugs,1531951332,213,,
1995,..,Quebec,Private,Drugs,1654883433,229,,
1996,..,Quebec,Private,Drugs,1716590697,237,,
1997,..,Quebec,Private,Drugs,1815232490,250,,
1998,..,Quebec,Private,Drugs,1857283691,255,,
1999,..,Quebec,Private,Drugs,2100116048,287,,
2000,..,Quebec,Private,Drugs,2258275127,307,,
2001,..,Quebec,Private,Drugs,2420853851,327,,
2002,..,Quebec,Private,Drugs,2656350419,357,,
2003,..,Quebec,Private,Drugs,2821959646,377,,
2004,..,Quebec,Private,Drugs,3081038436,409,,
2005,..,Quebec,Private,Drugs,3303790445,436,,
2006,..,Quebec,Private,Drugs,3545425216,465,,
2007,..,Quebec,Private,Drugs,3760559748,489,,
2008,..,Quebec,Private,Drugs,3930566650,506,,
2009,..,Quebec,Private,Drugs,4174664665,532,,
2010,..,Quebec,Private,Drugs,4869823988,614,,
2011,..,Quebec,Private,Drugs,4727844656,591,,
2012,..,Quebec,Private,Drugs,5141763180,638,,
2013,..,Quebec,Private,Drugs,5303511291,654,,
2014,..,Quebec,Private,Drugs,5063957462,621,,
2015,..,Quebec,Private,Drugs,5442070398,666,,
2016,..,Quebec,Private,Drugs,5627973778,684,,
2017,..,Quebec,Private,Drugs,5733999004,691,,
2018,..,Quebec,Private,Drugs,5823980773,693,,
2019,..,Quebec,Private,Drugs,5919583832,696,,
2020,f,Quebec,Private,Drugs,5961637556,695,,
2021,f,Quebec,Private,Drugs,6117400490,709,,
1975,..,Quebec,Private,Public Health,,,,
1976,..,Quebec,Private,Public Health,,,,
1977,..,Quebec,Private,Public Health,,,,
1978,..,Quebec,Private,Public Health,,,,
1979,..,Quebec,Private,Public Health,,,,
1980,..,Quebec,Private,Public Health,,,,
1981,..,Quebec,Private,Public Health,,,,
1982,..,Quebec,Private,Public Health,,,,
1983,..,Quebec,Private,Public Health,,,,
1984,..,Quebec,Private,Public Health,,,,
1985,..,Quebec,Private,Public Health,,,,
1986,..,Quebec,Private,Public Health,,,,
1987,..,Quebec,Private,Public Health,,,,
1988,..,Quebec,Private,Public Health,,,,
1989,..,Quebec,Private,Public Health,,,,
1990,..,Quebec,Private,Public Health,,,,
1991,..,Quebec,Private,Public Health,,,,
1992,..,Quebec,Private,Public Health,,,,
1993,..,Quebec,Private,Public Health,,,,
1994,..,Quebec,Private,Public Health,,,,
1995,..,Quebec,Private,Public Health,,,,
1996,..,Quebec,Private,Public Health,,,,
1997,..,Quebec,Private,Public Health,,,,
1998,..,Quebec,Private,Public Health,,,,
1999,..,Quebec,Private,Public Health,,,,
2000,..,Quebec,Private,Public Health,,,,
2001,..,Quebec,Private,Public Health,,,,
2002,..,Quebec,Private,Public Health,,,,
2003,..,Quebec,Private,Public Health,,,,
2004,..,Quebec,Private,Public Health,,,,
2005,..,Quebec,Private,Public Health,,,,
2006,..,Quebec,Private,Public Health,,,,
2007,..,Quebec,Private,Public Health,,,,
2008,..,Quebec,Private,Public Health,,,,
2009,..,Quebec,Private,Public Health,,,,
2010,..,Quebec,Private,Public Health,,,,
2011,..,Quebec,Private,Public Health,,,,
2012,..,Quebec,Private,Public Health,,,,
2013,..,Quebec,Private,Public Health,,,,
2014,..,Quebec,Private,Public Health,,,,
2015,..,Quebec,Private,Public Health,,,,
2016,..,Quebec,Private,Public Health,,,,
2017,..,Quebec,Private,Public Health,,,,
2018,..,Quebec,Private,Public Health,,,,
2019,..,Quebec,Private,Public Health,,,,
2020,f,Quebec,Private,Public Health,,,,
2021,f,Quebec,Private,Public Health,,,,
1975,..,Quebec,Private,Administration,15154147,2,,
1976,..,Quebec,Private,Administration,15083704,2,,
1977,..,Quebec,Private,Administration,18889851,3,,
1978,..,Quebec,Private,Administration,19132001,3,,
1979,..,Quebec,Private,Administration,24458186,4,,
1980,..,Quebec,Private,Administration,26536267,4,,
1981,..,Quebec,Private,Administration,34458954,5,,
1982,..,Quebec,Private,Administration,29810787,5,,
1983,..,Quebec,Private,Administration,29907647,5,,
1984,..,Quebec,Private,Administration,39170960,6,,
1985,..,Quebec,Private,Administration,50624625,8,,
1986,..,Quebec,Private,Administration,65544327,10,,
1987,..,Quebec,Private,Administration,58376706,9,,
1988,..,Quebec,Private,Administration,80271883,12,,
1989,..,Quebec,Private,Administration,110379217,16,,
1990,..,Quebec,Private,Administration,117564928,17,,
1991,..,Quebec,Private,Administration,119466691,17,,
1992,..,Quebec,Private,Administration,157522640,22,,
1993,..,Quebec,Private,Administration,186991943,26,,
1994,..,Quebec,Private,Administration,221962985,31,,
1995,..,Quebec,Private,Administration,265519968,37,,
1996,..,Quebec,Private,Administration,274364084,38,,
1997,..,Quebec,Private,Administration,275150982,38,,
1998,..,Quebec,Private,Administration,244610651,34,,
1999,..,Quebec,Private,Administration,190738984,26,,
2000,..,Quebec,Private,Administration,266578511,36,,
2001,..,Quebec,Private,Administration,430038428,58,,
2002,..,Quebec,Private,Administration,534801427,72,,
2003,..,Quebec,Private,Administration,640035176,86,,
2004,..,Quebec,Private,Administration,639559409,85,,
2005,..,Quebec,Private,Administration,598350160,79,,
2006,..,Quebec,Private,Administration,622781431,82,,
2007,..,Quebec,Private,Administration,619072801,80,,
2008,..,Quebec,Private,Administration,710179727,91,,
2009,..,Quebec,Private,Administration,677739727,86,,
2010,..,Quebec,Private,Administration,724184663,91,,
2011,..,Quebec,Private,Administration,745615145,93,,
2012,..,Quebec,Private,Administration,755345745,94,,
2013,..,Quebec,Private,Administration,733168822,90,,
2014,..,Quebec,Private,Administration,721325004,89,,
2015,..,Quebec,Private,Administration,632058439,77,,
2016,..,Quebec,Private,Administration,821387245,100,,
2017,..,Quebec,Private,Administration,850421925,102,,
2018,..,Quebec,Private,Administration,867172368,103,,
2019,..,Quebec,Private,Administration,911626050,107,,
2020,f,Quebec,Private,Administration,991030737,116,,
2021,f,Quebec,Private,Administration,1067134611,124,,
1975,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1976,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1977,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1978,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1979,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1980,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1981,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1982,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1983,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1984,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1985,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1986,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1987,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1988,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1989,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1990,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1991,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1992,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1993,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1994,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1995,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1996,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1997,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1998,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1999,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2000,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2001,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2002,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2003,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2004,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2005,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2006,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2007,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2008,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2009,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2010,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2011,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2012,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2013,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2014,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2015,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2016,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2017,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2018,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2019,..,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2020,f,Quebec,Private,Other health spending: Home and community care (HCC),,,,
2021,f,Quebec,Private,Other health spending: Home and community care (HCC),,,,
1975,..,Quebec,Private,Other Health Spending: Net of HCC,37600387,6,,
1976,..,Quebec,Private,Other Health Spending: Net of HCC,34379174,5,,
1977,..,Quebec,Private,Other Health Spending: Net of HCC,36800721,6,,
1978,..,Quebec,Private,Other Health Spending: Net of HCC,15351889,2,,
1979,..,Quebec,Private,Other Health Spending: Net of HCC,17545002,3,,
1980,..,Quebec,Private,Other Health Spending: Net of HCC,22062399,3,,
1981,..,Quebec,Private,Other Health Spending: Net of HCC,25453736,4,,
1982,..,Quebec,Private,Other Health Spending: Net of HCC,24524149,4,,
1983,..,Quebec,Private,Other Health Spending: Net of HCC,27119417,4,,
1984,..,Quebec,Private,Other Health Spending: Net of HCC,29721468,4,,
1985,..,Quebec,Private,Other Health Spending: Net of HCC,34068973,5,,
1986,..,Quebec,Private,Other Health Spending: Net of HCC,41254775,6,,
1987,..,Quebec,Private,Other Health Spending: Net of HCC,49169925,7,,
1988,..,Quebec,Private,Other Health Spending: Net of HCC,59648328,9,,
1989,..,Quebec,Private,Other Health Spending: Net of HCC,71331398,10,,
1990,..,Quebec,Private,Other Health Spending: Net of HCC,82460454,12,,
1991,..,Quebec,Private,Other Health Spending: Net of HCC,91455983,13,,
1992,..,Quebec,Private,Other Health Spending: Net of HCC,126492820,18,,
1993,..,Quebec,Private,Other Health Spending: Net of HCC,129347743,18,,
1994,..,Quebec,Private,Other Health Spending: Net of HCC,132065503,18,,
1995,..,Quebec,Private,Other Health Spending: Net of HCC,137340011,19,,
1996,..,Quebec,Private,Other Health Spending: Net of HCC,130655797,18,,
1997,..,Quebec,Private,Other Health Spending: Net of HCC,146337020,20,,
1998,..,Quebec,Private,Other Health Spending: Net of HCC,209691841,29,,
1999,..,Quebec,Private,Other Health Spending: Net of HCC,232241153,32,,
2000,..,Quebec,Private,Other Health Spending: Net of HCC,252170974,34,,
2001,..,Quebec,Private,Other Health Spending: Net of HCC,262939628,36,,
2002,..,Quebec,Private,Other Health Spending: Net of HCC,271774241,37,,
